Longitude,Latitude,hour,month,weekday,park
-122.346918642,47.624559765,4,7,1,101
-122.347730015,47.728224593,4,7,1,18
-122.299158732,47.579672245,4,7,1,102
-122.325552282,47.617040615,6,7,1,114
-122.31273635,47.733038777,5,7,1,29
-122.266270365,47.517931425,4,7,1,24
-122.309516725,47.576072202,4,7,1,95
-122.35402758,47.616643611,5,7,1,80
-122.340462679,47.612730311,5,7,1,103
-122.299158732,47.579672245,6,7,1,102
-122.38886522,47.670188335,7,7,1,54
-122.324684075,47.636306294,8,7,1,122
-122.377168759,47.633397639,8,7,1,67
-122.342353366,47.607665979,4,7,1,90
-122.325552282,47.617040615,5,7,1,114
-122.340449807,47.635551386,7,7,1,114
-122.362353715,47.553718333,5,7,1,33
-122.279001568,47.640708674,13,7,5,49
-122.331452204,47.573010497,10,7,1,65
-122.321735001,47.599184602,10,7,1,110
-122.314849129,47.526877095,11,7,1,19
-122.325630571,47.554728161,11,7,1,43
-122.337238175,47.609981889,12,7,1,102
-122.309595563,47.60617278,12,7,1,129
-122.329939975,47.60535774,12,7,1,106
-122.300526859,47.618921647,9,7,1,126
-122.333368028,47.617329291,11,7,1,111
-122.33273669,47.615154955,9,7,1,112
-122.316845009,47.614683851,8,7,1,125
-122.320751346,47.606843704,9,7,1,118
-122.325454737,47.674753382,1,7,1,84
-122.358001047,47.569229649,8,7,1,41
-122.35007384,47.614307992,9,7,1,86
-122.337165772,47.620284648,10,7,1,108
-122.321464282,47.615230696,11,7,1,122
-122.271376799,47.521674093,12,7,1,28
-122.31489548,47.615277436,8,7,1,123
-122.333907212,47.648607497,9,7,1,118
-122.34777183,47.731676965,11,7,1,14
-122.344834273,47.713547979,19,7,3,28
-122.344896102,47.717174471,12,7,1,24
-122.344706419,47.705798569,13,7,1,36
-122.27943,47.551933,12,1,6,52
-122.331082201,47.602412413,13,7,1,103
-122.332582828,47.605731052,13,7,1,105
-122.344989539,47.611004422,14,7,1,90
-122.351972914,47.690585188,14,7,1,45
-122.263998545,47.517910895,14,7,1,23
-122.330060373,47.616394276,15,7,1,113
-122.328314212,47.600035043,15,7,1,103
-122.342572051,47.661385211,15,7,1,96
-122.383397407,47.593503,15,7,1,47
-122.386583566,47.580252743,16,7,1,43
-122.327657828,47.60127855,15,7,1,106
-122.323962378,47.616355739,15,7,1,115
-122.333368028,47.617329291,13,7,1,111
-122.263559187,47.516812958,12,7,1,22
-122.386776714,47.562009046,13,7,1,48
-122.337338755,47.60925298,13,7,1,100
-122.324126053,47.610748389,14,7,1,115
-122.322978443,47.688791064,16,7,1,64
-122.335017881,47.610909012,13,7,1,102
-122.281230146,47.564149303,13,7,1,64
-122.316780576,47.605885165,14,7,1,126
-122.324739379,47.581892216,14,7,1,88
-122.302727335,47.612265425,15,7,1,124
-122.36934938,47.521036639,15,7,1,36
-122.31875563,47.603517744,16,7,1,121
-122.345223492,47.614372206,14,7,1,89
-122.323751903,47.598769218,4,7,6,110
